index,报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
0,2024,,-62.55亿,1334.54亿,-1290.82亿,-102.68亿,1022.57亿,,,7743.47亿,120.74亿,283.96亿,8148.18亿,4898.66亿,1170.68亿,526.97亿,217.33亿,6813.64亿,1334.54亿,,1.29亿,4.69亿,10.68亿,777.60万,137.13亿,154.00亿,973.60亿,36.66亿,1.25亿,433.31亿,1444.82亿,-1290.82亿,,9800.00万,False,376.64亿,29.60亿,1.06亿,557.22亿,501.04亿,100.51亿,4.15亿,58.34亿,659.89亿,-102.68亿,-3.59亿,-62.55亿,1085.12亿,1022.57亿,,,415.88亿,38.72亿,595.65亿,55.14亿,18.27亿,17.59亿,False,-5.32亿,19.08亿,-22.99亿,-19.75亿,-12.04亿,-312.48亿,-148.41亿,675.60亿,4.07亿,1334.54亿,,,1022.57亿,1085.12亿,-62.55亿
1,2023,,573.29亿,1697.25亿,-1256.64亿,128.17亿,1085.12亿,,,5727.05亿,151.65亿,239.48亿,6118.18亿,3134.33亿,842.88亿,295.28亿,148.44亿,4420.93亿,1697.25亿,,False,1.92亿,4.71亿,7384.00万,222.46亿,231.05亿,1220.94亿,20.85亿,140.78亿,105.13亿,1487.69亿,-1256.64亿,,9800.00万,False,453.04亿,False,2823.30万,454.30亿,272.31亿,41.02亿,1.27亿,12.81亿,326.13亿,128.17亿,4.51亿,573.29亿,511.82亿,1085.12亿,,,313.44亿,21.88亿,391.08亿,41.74亿,2.70亿,10.54亿,False,-2.58亿,5.30亿,-16.35亿,-21.75亿,7.75亿,-76.02亿,-126.41亿,1127.37亿,2.76亿,1697.25亿,,,1085.12亿,511.82亿,573.29亿
2,2022,,13.63亿,1408.38亿,-1205.96亿,-194.89亿,511.82亿,,,4132.09亿,76.28亿,205.43亿,4413.80亿,2208.43亿,535.20亿,185.37亿,76.43亿,3005.42亿,1408.38亿,,1377.90万,1.29亿,2.68亿,False,128.03亿,133.11亿,974.57亿,105.73亿,False,258.77亿,1339.07亿,-1205.96亿,,5.08亿,False,276.36亿,False,30.31亿,311.75亿,440.49亿,16.33亿,7946.40万,49.82亿,506.64亿,-194.89亿,6.10亿,13.63亿,498.20亿,511.82亿,,,177.13亿,13.86亿,151.89亿,50.99亿,8158.60万,8.76亿,False,-1.26亿,6.16亿,7.69亿,-17.74亿,12.05亿,-365.65亿,-175.47亿,1525.29亿,3.94亿,1408.38亿,,,511.82亿,498.20亿,13.63亿
3,2021,,360.81亿,654.67亿,-454.04亿,160.63亿,498.20亿,,,2026.66亿,48.55亿,58.97亿,2134.19亿,1043.99亿,287.60亿,78.05亿,69.88亿,1479.52亿,654.67亿,,False,2.04亿,8.26亿,2.22亿,114.69亿,127.22亿,373.44亿,35.27亿,False,172.56亿,581.26亿,-454.04亿,,373.14亿,False,328.72亿,False,False,701.86亿,498.79亿,26.19亿,1.86亿,5.25亿,541.24亿,160.63亿,-4384.50万,360.81亿,137.38亿,498.20亿,,,39.67亿,8.57亿,111.53亿,29.28亿,2728.30万,1.13亿,False,-4735.60万,19.08亿,-3163.10万,-1.44亿,1.43亿,-128.93亿,13.83亿,555.95亿,1.21亿,654.67亿,,,498.20亿,137.38亿,360.81亿
4,2020,,20.64亿,453.93亿,-144.44亿,-289.07亿,137.38亿,,,1386.67亿,64.12亿,36.43亿,1487.22亿,692.60亿,225.21亿,61.68亿,53.80亿,1033.29亿,453.93亿,,False,2.45亿,2.59亿,9782.80万,182.16亿,188.18亿,117.74亿,18.37亿,False,196.52亿,332.63亿,-144.44亿,,28.00亿,False,406.34亿,20.00亿,False,454.34亿,671.24亿,36.86亿,5477.60万,2.31亿,743.41亿,-289.07亿,2319.90万,20.64亿,116.74亿,137.38亿,,,60.14亿,9.07亿,94.15亿,30.73亿,3082.10万,3.76亿,False,5126.70万,31.24亿,-2671.30万,-3.93亿,4.29亿,-67.02亿,15.50亿,265.15亿,7838.30万,453.93亿,,,137.38亿,116.74亿,20.64亿
5,2019,,5.23亿,147.41亿,-208.81亿,66.10亿,116.74亿,,,1071.66亿,30.66亿,34.91亿,1137.22亿,709.32亿,203.16亿,35.89亿,41.44亿,989.81亿,147.41亿,,False,6840.10万,4.13亿,-555.20万,15.66亿,24.01亿,206.27亿,10.89亿,False,15.66亿,232.82亿,-208.81亿,,178.60万,False,584.78亿,200.00亿,8.18亿,797.96亿,685.99亿,43.89亿,1.50亿,1.98亿,731.86亿,66.10亿,5333.40万,5.23亿,111.51亿,116.74亿,,,21.19亿,1.39亿,83.21亿,14.77亿,4250.80万,9975.40万,False,-974.90万,34.87亿,2.90亿,-3.38亿,2.48亿,2.84亿,80.68亿,-99.83亿,False,147.41亿,,,116.74亿,111.51亿,5.23亿
6,2018,,22.15亿,125.23亿,-142.31亿,39.17亿,111.51亿,,,1038.13亿,30.41亿,57.06亿,1125.60亿,725.78亿,188.25亿,43.71亿,42.64亿,1000.38亿,125.23亿,,2392.20万,7418.40万,39.36亿,4.60亿,16.71亿,61.76亿,178.42亿,8.29亿,2687.20万,17.08亿,204.07亿,-142.31亿,,1083.50万,False,529.65亿,141.00亿,False,670.76亿,575.57亿,41.20亿,2.03亿,14.82亿,631.59亿,39.17亿,644.30万,22.15亿,89.36亿,111.51亿,,,35.56亿,6.86亿,75.91亿,18.09亿,2597.00万,1852.60万,False,547.00万,34.81亿,-2.48亿,-1.30亿,2.42亿,-65.85亿,-43.86亿,61.24亿,False,125.23亿,,,111.51亿,89.36亿,22.15亿
7,2017,,15.77亿,65.79亿,-161.75亿,111.68亿,89.36亿,,,943.41亿,13.38亿,18.46亿,975.24亿,680.95亿,154.83亿,35.95亿,37.73亿,909.46亿,65.79亿,,1390.70万,4086.60万,2.14亿,False,31.51亿,34.21亿,147.77亿,16.07亿,False,32.13亿,195.96亿,-161.75亿,,False,False,460.33亿,45.00亿,False,538.33亿,362.49亿,32.01亿,5323.30万,1434.40万,426.65亿,111.68亿,573.30万,15.77亿,73.59亿,89.36亿,,,49.17亿,2.43亿,57.51亿,13.33亿,845.70万,5515.00万,False,1.18亿,23.43亿,2.06亿,-1.32亿,-3394.00万,-27.27亿,-196.36亿,143.78亿,False,65.79亿,,,89.36亿,73.59亿,15.77亿
8,2016,,10.79亿,-18.46亿,-134.43亿,162.70亿,73.59亿,,,875.81亿,10.69亿,10.59亿,897.09亿,701.64亿,140.66亿,43.62亿,29.63亿,915.55亿,-18.46亿,,1629.00万,3269.80万,1.97亿,997.10万,10.26亿,12.88亿,130.53亿,9.27亿,False,7.50亿,147.31亿,-134.43亿,,144.73亿,False,312.23亿,False,False,462.92亿,266.91亿,32.09亿,5169.00万,1.22亿,300.22亿,162.70亿,9705.90万,10.79亿,62.80亿,73.59亿,,,54.80亿,5.66亿,53.09亿,17.19亿,False,1.37亿,False,1820.70万,18.00亿,7.26亿,-3.68亿,-6078.80万,-19.85亿,-198.11亿,48.30亿,-2.05亿,-18.46亿,,,73.59亿,62.80亿,10.79亿
9,2015,,21.90亿,38.42亿,-106.06亿,87.50亿,62.80亿,,,809.09亿,13.80亿,6.75亿,829.64亿,612.27亿,125.86亿,30.67亿,22.42亿,791.22亿,38.42亿,,False,1447.80万,18.09亿,5.26亿,6.05亿,29.54亿,122.90亿,10.71亿,False,2.00亿,135.61亿,-106.06亿,,False,False,245.34亿,15.00亿,4680.30万,292.81亿,187.61亿,17.63亿,False,789.80万,205.31亿,87.50亿,2.05亿,21.90亿,40.89亿,62.80亿,,,31.38亿,5.52亿,44.86亿,9.31亿,False,3605.10万,False,-1820.70万,15.17亿,-12.10亿,-1.20亿,2.40亿,-62.24亿,-60.95亿,67.69亿,False,38.42亿,,,62.80亿,40.89亿,21.90亿
10,2014,,-6.21亿,3806.90万,-79.62亿,72.71亿,40.89亿,,,550.80亿,9.45亿,7.66亿,567.91亿,423.41亿,98.11亿,21.27亿,24.75亿,567.53亿,3806.90万,,False,426.10万,7.97亿,1.86亿,3.37亿,13.23亿,85.78亿,5.32亿,False,1.74亿,92.85亿,-79.62亿,,34.42亿,1.00亿,263.37亿,False,3.04亿,300.83亿,210.22亿,17.90亿,2221.90万,5.00万,228.12亿,72.71亿,3120.80万,-6.21亿,47.11亿,40.89亿,,,7.40亿,2.94亿,37.04亿,6.11亿,False,-2.20亿,False,False,13.97亿,-6836.60万,-6578.70万,False,-19.18亿,-99.93亿,58.12亿,False,3806.90万,,,40.89亿,47.11亿,-6.21亿
11,2013,,12.24亿,24.36亿,-56.51亿,45.08亿,47.11亿,,,548.41亿,7.84亿,6.86亿,563.11亿,400.76亿,89.45亿,26.68亿,21.86亿,538.75亿,24.36亿,,False,False,2.72亿,False,3735.00万,3.10亿,57.64亿,1.97亿,False,False,59.61亿,-56.51亿,,False,False,160.55亿,30.00亿,False,190.55亿,128.23亿,12.42亿,False,4.82亿,145.47亿,45.08亿,-6815.40万,12.24亿,34.87亿,47.11亿,,,7.76亿,2.72亿,32.09亿,4.18亿,False,-121.30万,False,False,10.17亿,4840.80万,-1.14亿,False,-9.86亿,-28.16亿,8.13亿,-2.01亿,24.36亿,,,47.11亿,34.87亿,12.24亿
12,2012,,-2.51亿,55.55亿,-46.10亿,-12.17亿,34.87亿,,,541.32亿,6.03亿,6.11亿,553.46亿,370.73亿,75.97亿,25.31亿,25.90亿,497.91亿,55.55亿,,1.02亿,787.50万,1.34亿,False,1.99亿,4.43亿,43.50亿,4.50亿,False,2.53亿,50.53亿,-46.10亿,,False,False,109.85亿,30.00亿,1.14亿,140.99亿,140.70亿,12.14亿,4128.00万,3179.80万,153.16亿,-12.17亿,2050.00万,-2.51亿,37.37亿,34.87亿,,,2.13亿,3.24亿,30.20亿,3.39亿,1888.50万,1395.10万,False,False,8.62亿,1118.90万,-2.00亿,False,-9.66亿,-4.61亿,25.19亿,-1.40亿,55.55亿,,,34.87亿,37.37亿,-2.51亿
13,2011,,17.59亿,59.85亿,-89.23亿,47.36亿,37.37亿,,,514.09亿,7.51亿,3.70亿,525.30亿,348.11亿,74.22亿,21.29亿,21.83亿,465.45亿,59.85亿,,4.96亿,1312.90万,8527.20万,False,2.86亿,8.80亿,94.12亿,3.91亿,False,False,98.03亿,-89.23亿,,14.23亿,101.00万,181.89亿,10.00亿,False,206.12亿,144.56亿,10.56亿,33.00万,3.64亿,158.76亿,47.36亿,-3918.30万,17.59亿,19.79亿,37.37亿,,,15.95亿,4.85亿,25.16亿,2.46亿,3237.50万,941.40万,False,False,7.42亿,-5.04亿,-2.15亿,False,-2.45亿,-24.77亿,38.72亿,-7266.00万,59.85亿,,,37.37亿,19.79亿,17.59亿
14,2010,,-3.32亿,31.39亿,-126.72亿,91.78亿,19.79亿,,,561.47亿,5.27亿,5.90亿,572.64亿,434.21亿,61.60亿,21.12亿,24.32亿,541.25亿,31.39亿,,False,False,6962.80万,False,7.18亿,7.88亿,132.13亿,2.11亿,3603.90万,False,134.60亿,-126.72亿,,False,False,127.20亿,False,False,127.20亿,23.28亿,12.08亿,5169.10万,538.50万,35.42亿,91.78亿,2246.00万,-3.32亿,23.11亿,19.79亿,,,29.19亿,2070.00万,20.17亿,2.33亿,False,4105.10万,False,False,2.81亿,-2577.10万,-1.85亿,False,-21.74亿,11.43亿,-10.46亿,False,31.39亿,,,19.79亿,23.11亿,-3.32亿
15,2009,,6.11亿,119.81亿,-71.43亿,-42.45亿,23.11亿,,,389.81亿,3.78亿,1.24亿,394.83亿,206.61亿,41.69亿,13.28亿,13.44亿,275.02亿,119.81亿,,False,False,3574.70万,False,1.85亿,2.21亿,73.07亿,False,5700.00万,False,73.64亿,-71.43亿,,15.88亿,670.00万,44.22亿,False,False,60.09亿,99.41亿,3.10亿,790.90万,370.30万,102.55亿,-42.45亿,1833.30万,6.11亿,16.99亿,23.11亿,,,40.78亿,2.79亿,15.94亿,1.68亿,False,9206.20万,False,-90.60万,2.55亿,-1723.60万,-2062.50万,False,22.79亿,-40.92亿,77.07亿,False,119.81亿,,,23.11亿,16.99亿,6.11亿
16,2008,,-38.37亿,17.89亿,-58.51亿,2.68亿,16.99亿,,,275.69亿,4.76亿,2.54亿,282.98亿,198.56亿,37.21亿,6.79亿,22.53亿,265.10亿,17.89亿,,False,1829.60万,1.10亿,False,5.76亿,7.05亿,64.19亿,1573.10万,1.21亿,False,65.56亿,-58.51亿,,7.01亿,7.01亿,151.10亿,False,False,158.11亿,141.13亿,13.62亿,1.27亿,6698.50万,155.42亿,2.68亿,-4347.00万,-38.37亿,55.37亿,16.99亿,,,12.76亿,1.76亿,12.11亿,1.49亿,False,2813.20万,False,False,4.88亿,-2975.90万,-8.10万,-221.50万,-24.10亿,-3990.10万,13.02亿,False,17.89亿,,,16.99亿,55.37亿,-38.37亿
