index,报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,一年内到期的非流动资产,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
0,2025,,2585.39亿,8837.30亿,6251.91亿,2462.75亿,,,754.25亿,545.33亿,370.05亿,False,370.05亿,50.25亿,31.54亿,False,31.54亿,1384.21亿,205.34亿,307.23亿,1299.57亿,3714.68亿,,False,217.81亿,86.10亿,30.80亿,5852.00万,2927.76亿,2927.76亿,482.94亿,428.15亿,54.79亿,414.85亿,44.28亿,41.71亿,153.58亿,441.10亿,5122.62亿,8837.30亿,,384.85亿,False,5.50亿,2092.06亿,224.64亿,1867.42亿,False,514.71亿,160.25亿,107.16亿,1194.83亿,False,False,1194.83亿,63.12亿,108.18亿,4684.51亿,,607.06亿,49.98亿,False,False,16.17亿,807.98亿,1567.39亿,6251.91亿,,91.17亿,952.77亿,39.88亿,32.52亿,77.95亿,1160.57亿,2462.75亿,122.65亿,2585.39亿,8837.30亿
1,2024,,1986.88亿,7833.56亿,5846.68亿,1852.51亿,,,1027.39亿,405.11亿,622.99亿,False,622.99亿,39.74亿,36.16亿,False,36.16亿,1160.36亿,113.79亿,177.29亿,1432.50亿,3705.72亿,,False,190.82亿,85.01亿,26.55亿,6022.80万,2622.87亿,2622.87亿,199.54亿,131.70亿,67.84亿,384.24亿,44.28亿,50.07亿,85.59亿,225.36亿,4127.84亿,7833.56亿,,121.03亿,False,199.30万,2440.27亿,23.84亿,2416.43亿,False,437.30亿,218.43亿,100.97亿,1449.89亿,False,False,1449.89亿,102.23亿,54.24亿,4959.85亿,,82.58亿,False,False,False,27.87亿,677.61亿,886.82亿,5846.68亿,,29.09亿,606.79亿,7.24亿,14.41亿,73.74亿,986.48亿,1852.51亿,134.37亿,1986.88亿,7833.56亿
2,2023,,1504.62亿,6795.48亿,5290.86亿,1388.10亿,,,1090.94亿,95.43亿,618.66亿,False,618.66亿,22.15亿,27.58亿,False,27.58亿,876.77亿,False,132.15亿,1186.37亿,3021.21亿,,False,176.47亿,53.27亿,26.96亿,8251.00万,2309.04亿,2309.04亿,347.26亿,303.61亿,43.65亿,372.36亿,44.28亿,40.63亿,65.84亿,152.74亿,3774.26亿,6795.48亿,,183.23亿,False,771.30万,1984.83亿,40.53亿,1944.30亿,False,346.99亿,171.39亿,78.52亿,1649.73亿,False,False,1649.73亿,77.40亿,18.29亿,4536.67亿,,119.75亿,False,False,False,39.51亿,506.46亿,754.19亿,5290.86亿,,29.11亿,620.42亿,12.67亿,6.04亿,73.74亿,671.24亿,1388.10亿,116.52亿,1504.62亿,6795.48亿
3,2022,,1213.90亿,4938.61亿,3724.71亿,1110.29亿,,,514.71亿,206.27亿,388.28亿,False,388.28亿,82.24亿,19.10亿,False,19.10亿,791.07亿,False,131.36亿,720.98亿,2408.04亿,,False,154.85亿,44.19亿,21.47亿,8500.50万,1318.80亿,1318.80亿,446.22亿,372.59亿,73.63亿,232.23亿,6591.40万,4.58亿,36.87亿,210.45亿,2530.57亿,4938.61亿,,51.53亿,5460.50万,False,1437.66亿,33.28亿,1404.37亿,False,355.17亿,120.37亿,43.26亿,1221.24亿,False,False,1221.24亿,64.65亿,26.15亿,3333.45亿,,75.94亿,False,False,False,20.19亿,268.97亿,391.26亿,3724.71亿,,29.11亿,617.06亿,18.10亿,4.28亿,68.39亿,409.43亿,1110.29亿,103.61亿,1213.90亿,4938.61亿
4,2021,,1042.44亿,2957.80亿,1915.36亿,950.70亿,,,504.57亿,56.06亿,362.51亿,False,362.51亿,20.37亿,14.11亿,1.37亿,12.74亿,433.55亿,False,85.25亿,560.63亿,1661.10亿,,False,79.05亿,29.14亿,2.34亿,8750.00万,612.21亿,612.21亿,202.77亿,142.46亿,60.31亿,171.05亿,6591.40万,7743.20万,19.13亿,125.21亿,1296.70亿,2957.80亿,,102.04亿,False,False,804.92亿,73.31亿,731.60亿,130.00万,149.33亿,58.49亿,17.79亿,413.48亿,False,False,413.48亿,129.83亿,13.59亿,1713.04亿,,87.44亿,20.46亿,False,False,6.10亿,74.17亿,202.32亿,1915.36亿,,29.11亿,608.07亿,False,-1.24亿,50.09亿,264.56亿,950.70亿,91.75亿,1042.44亿,2957.80亿
5,2020,,644.54亿,2010.17亿,1365.63亿,568.74亿,,,144.45亿,2.40万,412.16亿,False,412.16亿,7.24亿,10.51亿,797.60万,10.43亿,313.96亿,12.51亿,73.13亿,144.45亿,1116.05亿,,False,54.66亿,14.20亿,2.85亿,9421.70万,545.85亿,545.85亿,61.12亿,35.50亿,25.62亿,118.04亿,6591.40万,6719.50万,17.69亿,1.08亿,894.12亿,2010.17亿,,164.01亿,5754.10万,False,519.08亿,89.26亿,429.83亿,750.00万,81.86亿,48.35亿,18.59亿,92.80亿,4.14亿,1000.00万,88.55亿,114.12亿,5.46亿,1064.31亿,,147.45亿,88.80亿,False,False,3.93亿,52.70亿,301.33亿,1365.63亿,,27.28亿,246.99亿,False,-5.56亿,44.48亿,244.57亿,568.74亿,75.80亿,644.54亿,2010.17亿
6,2019,,626.01亿,1956.42亿,1330.40亿,567.62亿,,,126.50亿,3434.50万,439.34亿,False,439.34亿,3.63亿,15.61亿,False,15.61亿,255.72亿,10.61亿,77.96亿,126.84亿,1069.67亿,,False,40.60亿,19.22亿,4660.80万,9690.20万,494.43亿,494.43亿,106.75亿,57.21亿,49.54亿,126.50亿,6591.40万,1.32亿,15.15亿,3.49亿,886.75亿,1956.42亿,,403.32亿,3430.70万,False,361.68亿,136.48亿,225.21亿,200.00万,45.02亿,37.83亿,6.14亿,68.21亿,5.60亿,1000.00万,62.51亿,87.47亿,52.01亿,1080.29亿,,119.48亿,99.69亿,False,False,1.03亿,24.43亿,250.11亿,1330.40亿,,27.28亿,245.31亿,False,-4665.90万,40.99亿,210.56亿,567.62亿,58.39亿,626.01亿,1956.42亿
7,2018,,606.94亿,1945.71亿,1338.77亿,551.98亿,,,130.52亿,45.10万,492.84亿,False,492.84亿,3.59亿,10.10亿,False,10.10亿,263.30亿,27.30亿,83.71亿,130.53亿,1152.11亿,,False,35.61亿,16.21亿,8350.90万,9006.60万,436.79亿,436.79亿,96.84亿,56.39亿,40.45亿,113.14亿,6591.40万,1.67亿,13.88亿,1.88亿,793.61亿,1945.71亿,,377.89亿,855.90万,False,462.83亿,211.41亿,251.42亿,230.00万,34.69亿,38.56亿,10.81亿,86.31亿,3.90亿,1000.00万,82.31亿,74.83亿,61.12亿,1165.69亿,,68.48亿,70.77亿,False,False,6630.80万,33.17亿,173.08亿,1338.77亿,,27.28亿,245.24亿,False,-2.91亿,38.42亿,204.98亿,551.98亿,54.96亿,606.94亿,1945.71亿
8,2017,,599.57亿,1780.99亿,1181.42亿,550.04亿,,,99.03亿,109.50万,588.54亿,69.73亿,518.81亿,8.49亿,8.25亿,False,8.25亿,198.73亿,12.90亿,110.90亿,99.04亿,1026.84亿,,41.85亿,30.65亿,False,False,6670.70万,432.45亿,432.45亿,77.36亿,45.13亿,32.23亿,100.98亿,6591.40万,7304.70万,15.80亿,1.49亿,754.15亿,1780.99亿,,357.75亿,1.19亿,False,402.74亿,169.54亿,233.20亿,47.00亿,False,31.80亿,9.51亿,81.37亿,1.75亿,1000.00万,79.52亿,98.74亿,5.15亿,1049.97亿,,63.69亿,44.93亿,False,False,6.10亿,16.73亿,131.45亿,1181.42亿,,27.28亿,244.74亿,False,12.60亿,34.10亿,192.36亿,550.04亿,49.53亿,599.57亿,1780.99亿
9,2016,,554.09亿,1450.71亿,896.61亿,512.56亿,,,76.94亿,False,481.30亿,63.62亿,417.68亿,2.06亿,5.63亿,False,5.63亿,173.78亿,4.82亿,37.86亿,76.94亿,782.40亿,,32.25亿,22.45亿,False,False,False,374.83亿,374.83亿,89.57亿,45.65亿,43.92亿,89.46亿,6591.40万,False,14.48亿,10.97亿,668.31亿,1450.71亿,,250.10亿,False,False,352.44亿,157.42亿,195.01亿,18.51亿,False,29.79亿,10.75亿,25.26亿,1.94亿,1000.00万,23.22亿,79.19亿,4.23亿,783.18亿,,48.48亿,44.91亿,False,False,5.50亿,14.55亿,113.44亿,896.61亿,,27.28亿,244.72亿,False,9.50亿,30.72亿,162.38亿,512.56亿,41.53亿,554.09亿,1450.71亿
10,2015,,360.29亿,1154.86亿,794.57亿,322.94亿,,,65.96亿,1820.70万,283.18亿,67.99亿,215.19亿,2.27亿,5.09亿,False,5.09亿,157.51亿,5.00亿,24.92亿,66.15亿,544.12亿,,30.71亿,18.89亿,False,False,False,323.69亿,323.69亿,94.88亿,57.58亿,37.30亿,87.90亿,6591.40万,False,10.80亿,11.80亿,610.74亿,1154.86亿,,199.44亿,False,False,314.79亿,128.97亿,185.82亿,24.38亿,False,21.18亿,6.41亿,20.76亿,1.93亿,1000.00万,18.73亿,64.69亿,1.66亿,661.10亿,,67.46亿,44.84亿,False,False,5.68亿,15.48亿,133.46亿,794.57亿,,24.76亿,103.12亿,False,8.19亿,23.84亿,131.04亿,322.94亿,37.35亿,360.29亿,1154.86亿
11,2014,,288.94亿,940.09亿,651.14亿,253.66亿,,,44.53亿,False,231.04亿,93.52亿,137.52亿,3.39亿,5.63亿,False,5.63亿,99.78亿,3.08亿,19.88亿,44.53亿,407.33亿,,3500.00万,14.14亿,False,False,False,300.15亿,300.15亿,87.35亿,63.65亿,23.71亿,86.11亿,6591.40万,False,9.65亿,8.74亿,532.76亿,940.09亿,,126.76亿,False,False,259.37亿,146.13亿,113.23亿,36.47亿,False,14.71亿,4.28亿,18.09亿,1.76亿,1000.00万,16.24亿,64.96亿,1.49亿,530.22亿,,79.88亿,29.91亿,False,False,False,11.13亿,120.92亿,651.14亿,,24.76亿,102.96亿,False,-1.54亿,21.08亿,106.39亿,253.66亿,35.29亿,288.94亿,940.09亿
12,2013,,248.56亿,780.15亿,531.58亿,217.10亿,,,53.79亿,False,132.75亿,55.88亿,76.87亿,3.26亿,3.76亿,False,3.76亿,82.21亿,1.10亿,21.77亿,53.79亿,298.65亿,,948.70万,10.84亿,False,False,False,281.39亿,281.39亿,74.72亿,60.08亿,14.64亿,74.54亿,6591.40万,False,9.00亿,7.87亿,481.50亿,780.15亿,,124.02亿,False,False,222.93亿,130.34亿,92.59亿,12.72亿,False,12.85亿,4.00亿,14.19亿,1.66亿,1000.00万,12.43亿,37.71亿,2.03亿,433.44亿,,26.85亿,59.67亿,False,False,False,11.62亿,98.14亿,531.58亿,,23.54亿,70.38亿,False,-1.58亿,19.65亿,105.11亿,217.10亿,31.47亿,248.56亿,780.15亿
13,2012,,241.44亿,687.10亿,445.66亿,211.97亿,,,36.84亿,False,99.92亿,37.31亿,62.60亿,5.28亿,3.06亿,False,3.06亿,73.45亿,7750.00万,False,36.84亿,219.32亿,,298.50万,9.49亿,False,False,False,257.77亿,257.77亿,92.79亿,78.83亿,13.96亿,62.95亿,6591.40万,False,7.86亿,18.84亿,467.78亿,687.10亿,,84.18亿,False,False,189.52亿,102.38亿,87.14亿,27.39亿,False,12.94亿,-8.74亿,12.05亿,1.11亿,1000.00万,10.85亿,28.70亿,10.99亿,359.31亿,,33.73亿,39.68亿,False,False,False,12.94亿,86.35亿,445.66亿,,23.54亿,70.16亿,False,False,18.20亿,101.28亿,211.97亿,29.47亿,241.44亿,687.10亿
14,2011,,239.80亿,656.24亿,416.44亿,211.25亿,,,40.48亿,False,98.07亿,43.19亿,54.88亿,5.99亿,3.42亿,False,3.34亿,65.96亿,3250.00万,False,40.48亿,214.24亿,,1519.20万,5.72亿,False,False,False,215.33亿,215.33亿,134.99亿,91.91亿,43.08亿,53.25亿,6591.40万,1888.50万,5.86亿,11.71亿,442.00亿,656.24亿,,100.11亿,False,False,172.36亿,84.04亿,88.32亿,18.71亿,False,12.82亿,-8.02亿,16.53亿,1415.10万,1000.00万,16.29亿,13.31亿,4.51亿,333.71亿,,60.85亿,9.94亿,False,False,False,11.94亿,82.73亿,416.44亿,,23.54亿,70.08亿,False,False,17.17亿,101.69亿,211.25亿,28.56亿,239.80亿,656.24亿
15,2010,,211.51亿,529.63亿,318.12亿,184.60亿,,,19.93亿,False,81.53亿,27.56亿,53.97亿,6.10亿,2.59亿,False,2.38亿,65.38亿,False,False,19.93亿,175.53亿,,False,5916.00万,False,False,False,174.76亿,174.76亿,112.40亿,74.01亿,38.38亿,48.97亿,6591.40万,5126.00万,3.71亿,4.49亿,354.11亿,529.63亿,,97.96亿,False,False,110.33亿,39.73亿,70.61亿,28.65亿,False,10.03亿,-6.06亿,12.47亿,False,33.00万,12.47亿,12.07亿,9.01亿,277.64亿,,30.49亿,False,False,False,False,9.99亿,40.48亿,318.12亿,,22.75亿,57.23亿,False,False,14.57亿,90.49亿,184.60亿,26.91亿,211.51亿,529.63亿
16,2009,,190.27亿,404.46亿,214.19亿,166.82亿,,,23.45亿,100.00万,97.83亿,57.16亿,40.67亿,2.11亿,1.08亿,False,9213.50万,44.05亿,False,False,23.46亿,168.52亿,,False,2986.00万,False,False,192.70万,143.18亿,143.18亿,58.80亿,45.81亿,13.00亿,21.17亿,5860.30万,8363.50万,1.86亿,5.70亿,235.94亿,404.46亿,,2.84亿,9.40万,False,115.21亿,35.77亿,79.44亿,33.40亿,False,7.38亿,1.72亿,7.34亿,False,34.40万,7.34亿,2.63亿,7.85亿,180.88亿,,31.07亿,False,False,False,False,2.25亿,33.31亿,214.19亿,,22.75亿,57.18亿,False,False,11.44亿,75.94亿,166.82亿,23.45亿,190.27亿,404.46亿
17,2008,,133.37亿,325.32亿,191.94亿,112.86亿,,,17.04亿,False,55.58亿,28.95亿,26.63亿,2.28亿,8915.40万,False,8685.80万,69.13亿,False,False,17.04亿,144.92亿,,False,2667.70万,False,False,198.50万,115.32亿,115.32亿,39.80亿,31.78亿,8.02亿,20.19亿,5860.30万,False,1.65亿,False,180.40亿,325.32亿,,41.34亿,False,False,68.48亿,26.82亿,41.66亿,12.71亿,False,5.91亿,-1.66亿,6.47亿,False,33.00万,6.47亿,2.37亿,3.81亿,140.36亿,,47.92亿,False,False,False,False,3.67亿,51.59亿,191.94亿,,20.50亿,43.63亿,False,False,5.76亿,43.69亿,112.86亿,20.52亿,133.37亿,325.32亿
