报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2025-09-30,,152.10亿,408.45亿,-1275.71亿,1016.63亿,1174.66亿,,,6124.36亿,133.58亿,159.53亿,6417.47亿,4391.08亿,975.04亿,413.90亿,229.00亿,6009.02亿,408.45亿,,16.09亿,3.07亿,18.12亿,7276.10万,192.08亿,230.08亿,1149.33亿,22.85亿,1.83亿,331.78亿,1505.79亿,-1275.71亿,,402.22亿,1.47亿,890.09亿,199.97亿,False,1702.28亿,366.83亿,134.33亿,4.38亿,84.49亿,685.65亿,1016.63亿,2.73亿,152.10亿,1022.57亿,1174.66亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2025-06-30,,74.60亿,318.33亿,-744.96亿,496.58亿,1097.17亿,,,4025.82亿,87.18亿,114.35亿,4227.35亿,2797.59亿,644.26亿,314.94亿,152.21亿,3909.01亿,318.33亿,,4099.70万,3.07亿,13.72亿,6696.10万,176.62亿,194.50亿,805.25亿,13.32亿,1.83亿,119.06亿,939.45亿,-744.96亿,,402.22亿,1.47亿,242.95亿,99.99亿,False,915.16亿,237.62亿,4.74亿,2.50亿,76.23亿,418.58亿,496.58亿,4.65亿,74.60亿,1022.57亿,1097.17亿,,,160.39亿,12.54亿,354.86亿,22.32亿,9.54亿,4.73亿,False,-3.73亿,5.89亿,-14.24亿,-22.08亿,-4.21亿,-259.87亿,149.95亿,-100.55亿,1.76亿,318.33亿,,,1097.17亿,1022.57亿,74.60亿
2025-03-31,,139.62亿,85.81亿,-327.40亿,380.00亿,1162.19亿,,,1869.94亿,50.23亿,68.14亿,1988.31亿,1352.18亿,332.65亿,135.60亿,82.06亿,1902.50亿,85.81亿,,3465.00万,3.00亿,3.24亿,200.00万,100.90亿,107.51亿,372.76亿,6.92亿,2.84亿,52.38亿,434.90亿,-327.40亿,,402.22亿,1.47亿,41.76亿,False,False,443.98亿,32.54亿,1.77亿,False,29.66亿,63.97亿,380.00亿,1.21亿,139.62亿,1022.57亿,1162.19亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-12-31,,-62.55亿,1334.54亿,-1290.82亿,-102.68亿,1022.57亿,,,7743.47亿,120.74亿,283.96亿,8148.18亿,4898.66亿,1170.68亿,526.97亿,217.33亿,6813.64亿,1334.54亿,,1.29亿,4.69亿,10.68亿,777.60万,137.13亿,154.00亿,973.60亿,36.66亿,1.25亿,433.31亿,1444.82亿,-1290.82亿,,9800.00万,False,376.64亿,29.60亿,1.06亿,557.22亿,501.04亿,100.51亿,4.15亿,58.34亿,659.89亿,-102.68亿,-3.59亿,-62.55亿,1085.12亿,1022.57亿,,,415.88亿,38.72亿,595.65亿,55.14亿,18.27亿,17.59亿,False,-5.32亿,19.08亿,-22.99亿,-19.75亿,-12.04亿,-312.48亿,-148.41亿,675.60亿,4.07亿,1334.54亿,,,1022.57亿,1085.12亿,-62.55亿
2024-09-30,,-427.02亿,562.73亿,-866.51亿,-119.61亿,658.10亿,,,5015.73亿,92.10亿,132.11亿,5239.94亿,3392.94亿,835.19亿,308.82亿,140.26亿,4677.21亿,562.73亿,,1650.00万,8.38亿,5.30亿,1888.20万,77.63亿,91.66亿,695.18亿,29.81亿,False,233.18亿,958.17亿,-866.51亿,,9800.00万,9800.00万,268.34亿,29.60亿,False,298.92亿,295.37亿,99.94亿,4.15亿,23.23亿,418.53亿,-119.61亿,-3.63亿,-427.02亿,1085.12亿,658.10亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2024-06-30,,-542.85亿,141.78亿,-558.74亿,-123.58亿,542.27亿,,,2970.84亿,67.97亿,71.32亿,3110.14亿,2174.91亿,504.67亿,193.25亿,95.52亿,2968.35亿,141.78亿,,1650.00万,3.51亿,3.11亿,249.70万,4.70亿,11.65亿,472.26亿,17.53亿,False,80.60亿,570.39亿,-558.74亿,,9800.00万,9800.00万,132.61亿,False,False,133.59亿,236.88亿,3.34亿,False,16.96亿,257.17亿,-123.58亿,-2.31亿,-542.85亿,1085.12亿,542.27亿,,,141.13亿,15.31亿,283.20亿,25.84亿,7.80亿,4.47亿,False,-3.48亿,8.37亿,-12.09亿,-2.76亿,-5.21亿,-266.63亿,-158.99亿,94.15亿,2.77亿,141.78亿,,,542.27亿,1085.12亿,-542.85亿
2024-03-31,,-223.33亿,102.28亿,-272.70亿,-51.84亿,861.79亿,,,1241.57亿,36.06亿,35.19亿,1312.82亿,854.17亿,234.77亿,79.27亿,42.33亿,1210.54亿,102.28亿,,False,1.14亿,3698.70万,False,4.40亿,5.91亿,260.94亿,16.06亿,False,1.60亿,278.61亿,-272.70亿,,False,False,127.03亿,False,False,127.03亿,171.36亿,2.32亿,False,5.19亿,178.87亿,-51.84亿,-1.08亿,-223.33亿,1085.12亿,861.79亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-12-31,,573.29亿,1697.25亿,-1256.64亿,128.17亿,1085.12亿,,,5727.05亿,151.65亿,239.48亿,6118.18亿,3134.33亿,842.88亿,295.28亿,148.44亿,4420.93亿,1697.25亿,,False,1.92亿,4.71亿,7384.00万,222.46亿,231.05亿,1220.94亿,20.85亿,140.78亿,105.13亿,1487.69亿,-1256.64亿,,9800.00万,False,453.04亿,False,2823.30万,454.30亿,272.31亿,41.02亿,1.27亿,12.81亿,326.13亿,128.17亿,4.51亿,573.29亿,511.82亿,1085.12亿,,,313.44亿,21.88亿,391.08亿,41.74亿,2.70亿,10.54亿,False,-2.58亿,5.30亿,-16.35亿,-21.75亿,7.75亿,-76.02亿,-126.41亿,1127.37亿,2.76亿,1697.25亿,,,1085.12亿,511.82亿,573.29亿
2023-09-30,,40.84亿,978.60亿,-944.03亿,2.56亿,552.66亿,,,3964.56亿,98.90亿,165.93亿,4229.39亿,2221.80亿,614.43亿,214.25亿,200.30亿,3250.78亿,978.60亿,,False,1.90亿,3.83亿,1.75亿,210.76亿,218.25亿,1009.67亿,14.66亿,False,137.95亿,1162.28亿,-944.03亿,,False,False,224.14亿,False,2823.30万,224.42亿,167.01亿,45.73亿,1.27亿,9.12亿,221.86亿,2.56亿,3.71亿,40.84亿,511.82亿,552.66亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2023-06-30,,280.46亿,819.71亿,-585.36亿,40.50亿,792.28亿,,,2513.14亿,77.98亿,110.38亿,2701.51亿,1250.43亿,373.57亿,140.55亿,117.24亿,1881.79亿,819.71亿,,False,1.54亿,2.42亿,1.47亿,184.67亿,190.10亿,659.37亿,9.60亿,False,106.49亿,775.46亿,-585.36亿,,False,False,171.14亿,False,2823.30万,171.42亿,116.68亿,8.53亿,False,5.71亿,130.92亿,40.50亿,5.61亿,280.46亿,511.82亿,792.28亿,,,114.40亿,9.05亿,163.21亿,17.12亿,9273.30万,4.42亿,False,-8689.60万,3.42亿,-5.91亿,-15.20亿,4.72亿,-90.12亿,3.57亿,599.17亿,5.71亿,819.71亿,,,792.28亿,511.82亿,280.46亿
2023-03-31,,37.09亿,144.66亿,-226.97亿,120.50亿,548.92亿,,,937.04亿,25.16亿,60.28亿,1022.48亿,588.43亿,182.50亿,65.17亿,41.72亿,877.82亿,144.66亿,,False,1.38亿,1.66亿,False,102.37亿,105.42亿,323.58亿,3.84亿,False,4.97亿,332.39亿,-226.97亿,,False,False,132.14亿,False,False,132.14亿,6.47亿,2.42亿,False,2.75亿,11.64亿,120.50亿,-1.09亿,37.09亿,511.82亿,548.92亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2022-12-31,,13.63亿,1408.38亿,-1205.96亿,-194.89亿,511.82亿,,,4132.09亿,76.28亿,205.43亿,4413.80亿,2208.43亿,535.20亿,185.37亿,76.43亿,3005.42亿,1408.38亿,,1377.90万,1.29亿,2.68亿,False,128.03亿,133.11亿,974.57亿,105.73亿,False,258.77亿,1339.07亿,-1205.96亿,,5.08亿,False,276.36亿,False,30.31亿,311.75亿,440.49亿,16.33亿,7946.40万,49.82亿,506.64亿,-194.89亿,6.10亿,13.63亿,498.20亿,511.82亿,,,177.13亿,13.86亿,151.89亿,50.99亿,8158.60万,8.76亿,False,-1.26亿,6.16亿,7.69亿,-17.74亿,12.05亿,-365.65亿,-175.47亿,1525.29亿,3.94亿,1408.38亿,,,511.82亿,498.20亿,13.63亿
2022-09-30,,-81.94亿,910.37亿,-836.57亿,-159.98亿,416.26亿,,,2788.10亿,61.35亿,62.68亿,2912.13亿,1488.79亿,359.44亿,102.92亿,50.62亿,2001.76亿,910.37亿,,1377.90万,7534.80万,2.59亿,False,103.84亿,107.32亿,642.78亿,76.16亿,False,224.95亿,943.89亿,-836.57亿,,4.73亿,False,196.38亿,False,False,201.11亿,298.58亿,15.74亿,7946.40万,46.77亿,361.09亿,-159.98亿,4.25亿,-81.94亿,498.20亿,416.26亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2022-06-30,,-84.83亿,431.85亿,-428.08亿,-90.02亿,413.37亿,,,1528.37亿,46.99亿,27.56亿,1602.93亿,864.59亿,215.98亿,59.48亿,31.03亿,1171.07亿,431.85亿,,1377.90万,4506.20万,1.83亿,False,76.03亿,78.45亿,361.28亿,24.64亿,False,120.60亿,506.52亿,-428.08亿,,2.77亿,False,194.35亿,False,False,197.12亿,234.19亿,7.37亿,False,45.58亿,287.14亿,-90.02亿,1.42亿,-84.83亿,498.20亿,413.37亿,,,39.33亿,4.32亿,63.04亿,28.31亿,2002.30万,1.28亿,False,1604.10万,5.11亿,3.58亿,-6.19亿,1.77亿,-141.89亿,-22.71亿,453.40亿,-1473.40万,431.85亿,,,413.37亿,498.20亿,-84.83亿
2022-03-31,,-78.91亿,119.33亿,-125.96亿,-72.53亿,419.29亿,,,634.14亿,14.31亿,13.15亿,661.59亿,397.14亿,99.73亿,28.27亿,17.13亿,542.26亿,119.33亿,,False,3242.00万,7463.10万,False,42.83亿,43.90亿,134.54亿,17.02亿,False,18.30亿,169.86亿,-125.96亿,,2.77亿,False,75.41亿,False,4.82亿,82.99亿,150.91亿,3.76亿,False,8572.20万,155.53亿,-72.53亿,2567.80万,-78.91亿,498.20亿,419.29亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2021-12-31,,360.81亿,654.67亿,-454.04亿,160.63亿,498.20亿,,,2026.66亿,48.55亿,58.97亿,2134.19亿,1043.99亿,287.60亿,78.05亿,69.88亿,1479.52亿,654.67亿,,False,2.04亿,8.26亿,2.22亿,114.69亿,127.22亿,373.44亿,35.27亿,False,172.56亿,581.26亿,-454.04亿,,373.14亿,False,328.72亿,False,False,701.86亿,498.79亿,26.19亿,1.86亿,5.25亿,541.24亿,160.63亿,-4384.50万,360.81亿,137.38亿,498.20亿,,,39.67亿,8.57亿,111.53亿,29.28亿,2728.30万,1.13亿,False,-4735.60万,19.08亿,-3163.10万,-1.44亿,1.43亿,-128.93亿,13.83亿,555.95亿,1.21亿,654.67亿,,,498.20亿,137.38亿,360.81亿
2021-09-30,,189.21亿,318.74亿,-222.90亿,93.46亿,326.60亿,,,1299.95亿,32.52亿,29.87亿,1362.33亿,752.70亿,199.89亿,47.28亿,43.73亿,1043.60亿,318.74亿,,False,1.31亿,6.50亿,93.10万,104.40亿,112.23亿,207.19亿,9.56亿,False,118.37亿,335.12亿,-222.90亿,,255.62亿,False,279.38亿,False,False,534.99亿,371.40亿,23.73亿,1.86亿,35.41亿,441.54亿,93.46亿,-854.60万,189.21亿,137.38亿,326.60亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2021-06-30,,74.14亿,96.77亿,-129.19亿,106.40亿,211.52亿,,,716.27亿,18.89亿,30.01亿,765.17亿,479.70亿,126.09亿,34.35亿,28.25亿,668.40亿,96.77亿,,False,1.21亿,1.20亿,93.10万,77.70亿,80.12亿,104.07亿,6.86亿,False,98.37亿,209.31亿,-129.19亿,,250.62亿,False,194.15亿,False,False,444.76亿,310.74亿,12.55亿,False,4.08亿,338.37亿,106.40亿,1626.10万,74.14亿,137.38亿,211.52亿,,,18.11亿,2.14亿,51.87亿,11.96亿,1339.10万,7054.70万,False,-2836.00万,10.20亿,-3383.80万,1.71亿,-6837.80万,-85.17亿,12.56亿,72.65亿,6284.10万,96.77亿,,,211.52亿,137.38亿,74.14亿
2021-03-31,,157.66亿,1.42亿,-47.98亿,204.35亿,295.05亿,,,323.79亿,9.43亿,18.55亿,351.77亿,258.04亿,60.59亿,19.42亿,12.30亿,350.35亿,1.42亿,,False,3064.00万,7095.20万,93.10万,21.00亿,22.03亿,42.08亿,5.42亿,False,22.50亿,70.00亿,-47.98亿,,250.62亿,False,85.87亿,False,4.00亿,340.49亿,123.23亿,5.51亿,False,1.40亿,136.14亿,204.35亿,-1317.50万,157.66亿,137.38亿,295.05亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2020-12-31,,20.64亿,453.93亿,-144.44亿,-289.07亿,137.38亿,,,1386.67亿,64.12亿,36.43亿,1487.22亿,692.60亿,225.21亿,61.68亿,53.80亿,1033.29亿,453.93亿,,False,2.45亿,2.59亿,9782.80万,182.16亿,188.18亿,117.74亿,18.37亿,False,196.52亿,332.63亿,-144.44亿,,28.00亿,False,406.34亿,20.00亿,False,454.34亿,671.24亿,36.86亿,5477.60万,2.31亿,743.41亿,-289.07亿,2319.90万,20.64亿,116.74亿,137.38亿,,,60.14亿,9.07亿,94.15亿,30.73亿,3082.10万,3.76亿,False,5126.70万,31.24亿,-2671.30万,-3.93亿,4.29亿,-67.02亿,15.50亿,265.15亿,7838.30万,453.93亿,,,137.38亿,116.74亿,20.64亿
2020-09-30,,6.47亿,286.63亿,-100.19亿,-179.72亿,123.21亿,,,949.37亿,46.31亿,17.77亿,1013.46亿,490.42亿,155.02亿,41.88亿,39.50亿,726.82亿,286.63亿,,False,2.16亿,2.02亿,9311.00万,175.46亿,180.58亿,91.77亿,13.53亿,False,175.46亿,280.76亿,-100.19亿,,28.00亿,False,363.50亿,20.00亿,4.40亿,415.90亿,544.85亿,30.96亿,5477.60万,1.80亿,595.62亿,-179.72亿,-2610.30万,6.47亿,116.74亿,123.21亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2020-06-30,,10.46亿,155.38亿,-69.12亿,-75.59亿,127.20亿,,,552.24亿,18.10亿,16.85亿,587.19亿,304.12亿,90.75亿,13.69亿,23.25亿,431.80亿,155.38亿,,False,1.65亿,1.74亿,1.05亿,149.00亿,153.44亿,64.96亿,8.60亿,False,149.00亿,222.56亿,-69.12亿,,22.80亿,False,341.36亿,20.00亿,7.55亿,391.71亿,445.40亿,20.93亿,False,9694.90万,467.30亿,-75.59亿,-2166.40万,10.46亿,116.74亿,127.20亿,,,23.83亿,3.66亿,39.56亿,12.83亿,1886.70万,False,9111.30万,-4247.40万,17.32亿,-6429.20万,-1.58亿,1.59亿,-27.75亿,6.69亿,76.27亿,False,155.38亿,,,127.20亿,116.74亿,10.46亿
2020-03-31,,-7518.30万,49.49亿,-44.90亿,-5.26亿,115.99亿,,,191.37亿,4.20亿,11.25亿,206.82亿,98.68亿,38.55亿,4.38亿,15.72亿,157.33亿,49.49亿,,False,9557.00万,6552.80万,9701.60万,58.00亿,60.58亿,39.31亿,8.17亿,False,58.00亿,105.48亿,-44.90亿,,False,False,200.26亿,False,False,200.26亿,195.34亿,9.21亿,False,9732.30万,205.53亿,-5.26亿,-778.30万,-7518.30万,116.74亿,115.99亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2019-12-31,,5.23亿,147.41亿,-208.81亿,66.10亿,116.74亿,,,1071.66亿,30.66亿,34.91亿,1137.22亿,709.32亿,203.16亿,35.89亿,41.44亿,989.81亿,147.41亿,,False,6840.10万,4.13亿,-555.20万,15.66亿,24.01亿,206.27亿,10.89亿,False,15.66亿,232.82亿,-208.81亿,,178.60万,False,584.78亿,200.00亿,8.18亿,797.96亿,685.99亿,43.89亿,1.50亿,1.98亿,731.86亿,66.10亿,5333.40万,5.23亿,111.51亿,116.74亿,,,21.19亿,1.39亿,83.21亿,14.77亿,4250.80万,9975.40万,False,-974.90万,34.87亿,2.90亿,-3.38亿,2.48亿,2.84亿,80.68亿,-99.83亿,False,147.41亿,,,116.74亿,111.51亿,5.23亿
2019-09-30,,-16.12亿,38.33亿,-165.16亿,110.37亿,95.39亿,,,773.47亿,13.40亿,40.53亿,827.40亿,574.13亿,149.49亿,31.35亿,34.10亿,789.07亿,38.33亿,,False,5024.80万,2.33亿,20.00万,15.66亿,21.50亿,154.01亿,6.47亿,False,26.18亿,186.66亿,-165.16亿,,178.00万,False,502.13亿,200.00亿,3.97亿,711.10亿,563.93亿,35.30亿,1.50亿,1.50亿,600.73亿,110.37亿,3418.20万,-16.12亿,111.51亿,95.39亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2019-06-30,,-14.22亿,-20.65亿,-120.30亿,126.61亿,97.29亿,,,487.51亿,9.40亿,28.91亿,525.82亿,397.76亿,101.45亿,24.66亿,22.59亿,546.46亿,-20.65亿,,False,2174.30万,1.66亿,False,15.65亿,17.53亿,116.70亿,5.47亿,False,15.65亿,137.83亿,-120.30亿,,6.00万,False,389.56亿,105.00亿,4.39亿,503.93亿,357.83亿,18.62亿,False,8722.90万,377.32亿,126.61亿,1161.10万,-14.22亿,111.51亿,97.29亿,,,16.48亿,1.81亿,40.61亿,8.02亿,2127.30万,2603.80万,False,-479.40万,16.01亿,951.80万,-2.21亿,-4160.50万,-18.21亿,25.98亿,-111.32亿,False,-20.65亿,,,97.29亿,111.51亿,-14.22亿
2019-03-31,,14.27亿,4.08亿,-56.55亿,66.81亿,125.79亿,,,266.36亿,6.82亿,13.24亿,286.42亿,208.26亿,47.26亿,15.74亿,11.07亿,282.34亿,4.08亿,,False,94.90万,6876.20万,False,False,6971.10万,48.61亿,3.94亿,False,4.70亿,57.25亿,-56.55亿,,5.00万,False,174.85亿,55.00亿,4.89亿,234.74亿,158.92亿,8.89亿,False,1187.80万,167.93亿,66.81亿,-624.90万,14.27亿,111.51亿,125.79亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2018-12-31,,22.15亿,125.23亿,-142.31亿,39.17亿,111.51亿,,,1038.13亿,30.41亿,57.06亿,1125.60亿,725.78亿,188.25亿,43.71亿,42.64亿,1000.38亿,125.23亿,,2392.20万,7418.40万,39.36亿,4.60亿,16.71亿,61.76亿,178.42亿,8.29亿,2687.20万,17.08亿,204.07亿,-142.31亿,,1083.50万,False,529.65亿,141.00亿,False,670.76亿,575.57亿,41.20亿,2.03亿,14.82亿,631.59亿,39.17亿,644.30万,22.15亿,89.36亿,111.51亿,,,35.56亿,6.86亿,75.91亿,18.09亿,2597.00万,1852.60万,False,547.00万,34.81亿,-2.48亿,-1.30亿,2.42亿,-65.85亿,-43.86亿,61.24亿,False,125.23亿,,,111.51亿,89.36亿,22.15亿
2018-09-30,,46.16亿,66.50亿,-88.12亿,67.04亿,135.52亿,,,750.26亿,26.82亿,25.87亿,802.94亿,539.37亿,135.85亿,32.87亿,28.35亿,736.44亿,66.50亿,,False,7608.90万,37.65亿,4.60亿,16.71亿,59.72亿,125.31亿,5.48亿,2439.30万,16.80亿,147.84亿,-88.12亿,,230.50万,False,409.29亿,101.00亿,False,510.31亿,408.76亿,33.23亿,1.77亿,1.27亿,443.27亿,67.04亿,7435.50万,46.16亿,89.36亿,135.52亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False
2018-06-30,,10.94亿,-14.57亿,-82.54亿,107.90亿,100.30亿,,,473.09亿,12.21亿,17.51亿,502.82亿,383.47亿,88.17亿,23.51亿,22.24亿,517.39亿,-14.57亿,,False,2585.30万,1.83亿,1.28亿,10.70亿,14.06亿,82.75亿,2.83亿,2329.60万,10.79亿,96.60亿,-82.54亿,,False,False,302.23亿,70.00亿,False,372.23亿,248.83亿,14.71亿,2506.00万,7755.40万,264.32亿,107.90亿,1483.00万,10.94亿,89.36亿,100.30亿,,,8.74亿,1.25亿,36.46亿,8.34亿,989.70万,2283.70万,False,1598.10万,14.32亿,-3.72亿,-2.51亿,-4349.60万,-52.50亿,-30.95亿,6.83亿,False,-14.57亿,,,100.30亿,89.36亿,10.94亿
