编号,股东名称,持股数量,持股比例,股本性质,截至日期,公告日期,股东说明,股东总数,平均持股数
1,厦门瑞庭投资有限公司,1024704949.0,22.46,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
2,香港中央结算有限公司,,,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
3,黄世霖,466021310.0,10.21,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.23,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
5,李平,197460277.0,4.33,"流通A股,限售流通股",2025-09-30,2025-10-21,,227474.0,20057.0
6,HKSCC NOMINEES LIMITED,,3.42,流通H股,2025-09-30,2025-10-21,,227474.0,20057.0
7,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,,1.2,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
8,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,,0.99,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
9,本田技研工业(中国)投资有限公司,41400000.0,0.91,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
10,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,,0.71,流通A股,2025-09-30,2025-10-21,,227474.0,20057.0
1,厦门瑞庭投资有限公司,1024704949.0,22.47,流通A股,2025-07-10,2025-07-10,,,
2,香港中央结算有限公司,606921205.0,13.31,流通A股,2025-07-10,2025-07-10,,,
3,黄世霖,466021310.0,10.22,流通A股,2025-07-10,2025-07-10,,,
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.23,流通A股,2025-07-10,2025-07-10,,,
5,李平,197460277.0,4.33,"流通A股,限售流通股",2025-07-10,2025-07-10,,,
6,HKSCC NOMINEES LIMITED,155908290.0,3.42,流通H股,2025-07-10,2025-07-10,,,
7,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,64017681.0,1.4,流通A股,2025-07-10,2025-07-10,,,
8,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,46996542.0,1.03,流通A股,2025-07-10,2025-07-10,,,
9,本田技研工业(中国)投资有限公司,41400000.0,0.91,流通A股,2025-07-10,2025-07-10,,,
10,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,33541336.0,0.74,流通A股,2025-07-10,2025-07-10,,,
1,厦门瑞庭投资有限公司,1024704949.0,22.47,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
2,香港中央结算有限公司,606921205.0,13.31,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
3,黄世霖,466021310.0,10.22,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.23,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
5,李平,201510277.0,4.42,"流通A股,限售流通股",2025-06-30,2025-07-31,,226368.0,20146.0
6,HKSCC NOMINEES LIMITED,155908290.0,3.42,流通H股,2025-06-30,2025-07-31,,226368.0,20146.0
7,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,64017681.0,1.4,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
8,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,46996542.0,1.03,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
9,本田技研工业(中国)投资有限公司,41400000.0,0.91,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
10,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,33541336.0,0.74,流通A股,2025-06-30,2025-07-31,,226368.0,20146.0
1,厦门瑞庭投资有限公司,1024704949.0,23.27,流通A股,2025-04-03,2025-04-15,,,
2,香港中央结算有限公司,551607462.0,12.53,流通A股,2025-04-03,2025-04-15,,,
3,黄世霖,466021310.0,10.58,"流通A股,限售流通股",2025-04-03,2025-04-15,,,
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.45,流通A股,2025-04-03,2025-04-15,,,
5,李平,201510277.0,4.58,"流通A股,限售流通股",2025-04-03,2025-04-15,,,
6,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,66768761.0,1.52,流通A股,2025-04-03,2025-04-15,,,
7,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,43494125.0,0.99,流通A股,2025-04-03,2025-04-15,,,
8,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2025-04-03,2025-04-15,,,
9,厦门润泰宏裕投资合伙企业(有限合伙),34393473.0,0.78,流通A股,2025-04-03,2025-04-15,,,
10,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,30151782.0,0.68,流通A股,2025-04-03,2025-04-15,,,
1,厦门瑞庭投资有限公司,1024704949.0,23.27,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
2,香港中央结算有限公司,554852594.0,12.6,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
3,黄世霖,466021310.0,10.58,"流通A股,限售流通股",2025-03-31,2025-04-15,,226327.0,19457.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.45,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
5,李平,201510277.0,4.58,"流通A股,限售流通股",2025-03-31,2025-04-15,,226327.0,19457.0
6,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,65667361.0,1.49,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
7,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,43208625.0,0.98,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
8,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
9,厦门润泰宏裕投资合伙企业(有限合伙),34393473.0,0.78,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
10,西藏鸿商资本投资有限公司,30304577.0,0.69,流通A股,2025-03-31,2025-04-15,,226327.0,19457.0
1,厦门瑞庭投资有限公司,1024704949.0,23.27,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
2,香港中央结算有限公司,541541472.0,12.3,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
3,黄世霖,466021310.0,10.58,"流通A股,限售流通股",2024-12-31,2025-03-15,,212061.0,20765.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.45,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
5,李平,201510277.0,4.58,"流通A股,限售流通股",2024-12-31,2025-03-15,,212061.0,20765.0
6,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,70850223.0,1.61,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
7,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,45552565.0,1.03,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
8,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
9,厦门润泰宏裕投资合伙企业(有限合伙),34393473.0,0.78,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
10,深圳市招银叁号股权投资合伙企业(有限合伙),32117613.0,0.73,流通A股,2024-12-31,2025-03-15,,212061.0,20765.0
1,厦门瑞庭投资有限公司,1024704949.0,23.28,流通A股,2024-09-30,2024-10-19,,229043.0,19218.0
2,香港中央结算有限公司,503887708.0,11.45,流通A股,2024-09-30,2024-10-19,,229043.0,19218.0
3,黄世霖,466021310.0,10.59,"流通A股,限售流通股",2024-09-30,2024-10-19,,229043.0,19218.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.46,流通A股,2024-09-30,2024-10-19,,229043.0,19218.0
5,李平,201510277.0,4.58,"流通A股,限售流通股",2024-09-30,2024-10-19,,229043.0,19218.0
6,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,71111460.0,1.62,流通A股,2024-09-30,2024-10-19,,229043.0,19218.0
7,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,50760529.0,1.15,流通A股,2024-09-30,2024-10-19,,229043.0,19218.0
8,宁波梅山保税港区博瑞荣合投资合伙企业(有限合伙),41583910.0,0.94,流通A股,2024-09-30,2024-10-19,,229043.0,19218.0
9,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2024-09-30,2024-10-19,,229043.0,19218.0
10,西藏鸿商资本投资有限公司,39973977.0,0.91,流通A股,2024-09-30,2024-10-19,,229043.0,19218.0
1,厦门瑞庭投资有限公司,1024704949.0,23.3,流通A股,2024-06-30,2024-07-27,,237334.0,18530.0
2,香港中央结算有限公司,483608880.0,10.99,流通A股,2024-06-30,2024-07-27,,237334.0,18530.0
3,黄世霖,466021310.0,10.59,"流通A股,限售流通股",2024-06-30,2024-07-27,,237334.0,18530.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.46,流通A股,2024-06-30,2024-07-27,,237334.0,18530.0
5,李平,201510277.0,4.58,"流通A股,限售流通股",2024-06-30,2024-07-27,,237334.0,18530.0
6,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,52220071.0,1.19,流通A股,2024-06-30,2024-07-27,,237334.0,18530.0
7,宁波梅山保税港区博瑞荣合投资合伙企业(有限合伙),50729758.0,1.15,流通A股,2024-06-30,2024-07-27,,237334.0,18530.0
8,西藏鸿商资本投资有限公司,43387576.0,0.99,流通A股,2024-06-30,2024-07-27,,237334.0,18530.0
9,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2024-06-30,2024-07-27,,237334.0,18530.0
10,深圳市招银叁号股权投资合伙企业(有限合伙),37459589.0,0.85,流通A股,2024-06-30,2024-07-27,,237334.0,18530.0
1,厦门瑞庭投资有限公司,1024704949.0,23.29,流通A股,2024-03-31,2024-04-16,,250264.0,17580.0
2,黄世霖,466021310.0,10.59,"流通A股,限售流通股",2024-03-31,2024-04-16,,250264.0,17580.0
3,香港中央结算有限公司,457104030.0,10.39,流通A股,2024-03-31,2024-04-16,,250264.0,17580.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.46,流通A股,2024-03-31,2024-04-16,,250264.0,17580.0
5,李平,201510277.0,4.58,"流通A股,限售流通股",2024-03-31,2024-04-16,,250264.0,17580.0
6,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,52403500.0,1.19,流通A股,2024-03-31,2024-04-16,,250264.0,17580.0
7,宁波梅山保税港区博瑞荣合投资合伙企业(有限合伙),52226778.0,1.19,流通A股,2024-03-31,2024-04-16,,250264.0,17580.0
8,西藏鸿商资本投资有限公司,46195296.0,1.05,流通A股,2024-03-31,2024-04-16,,250264.0,17580.0
9,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2024-03-31,2024-04-16,,250264.0,17580.0
10,深圳市招银叁号股权投资合伙企业(有限合伙),37459589.0,0.85,流通A股,2024-03-31,2024-04-16,,250264.0,17580.0
1,厦门瑞庭投资有限公司,1024704949.0,23.29,流通A股,2023-12-31,2024-03-16,,260992.0,16858.0
2,黄世霖,466021310.0,10.59,"流通A股,限售流通股",2023-12-31,2024-03-16,,260992.0,16858.0
3,香港中央结算有限公司,423295349.0,9.62,流通A股,2023-12-31,2024-03-16,,260992.0,16858.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.46,流通A股,2023-12-31,2024-03-16,,260992.0,16858.0
5,李平,201510277.0,4.58,"流通A股,限售流通股",2023-12-31,2024-03-16,,260992.0,16858.0
6,宁波梅山保税港区博瑞荣合投资合伙企业(有限合伙),52226778.0,1.19,流通A股,2023-12-31,2024-03-16,,260992.0,16858.0
7,西藏鸿商资本投资有限公司,46195296.0,1.05,流通A股,2023-12-31,2024-03-16,,260992.0,16858.0
8,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2023-12-31,2024-03-16,,260992.0,16858.0
9,深圳市招银叁号股权投资合伙企业(有限合伙),37459589.0,0.85,流通A股,2023-12-31,2024-03-16,,260992.0,16858.0
10,中国工商银行股份有限公司－易方达创业板交易型开放式指数证券投资基金,37335936.0,0.85,流通A股,2023-12-31,2024-03-16,,260992.0,16858.0
1,厦门瑞庭投资有限公司,1025064949.0,23.31,流通A股,2023-10-30,2023-11-02,,,
2,黄世霖,466021310.0,10.6,"流通A股,限售流通股",2023-10-30,2023-11-02,,,
3,香港中央结算有限公司,411312750.0,9.35,流通A股,2023-10-30,2023-11-02,,,
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.46,流通A股,2023-10-30,2023-11-02,,,
5,李平,201510277.0,4.58,"流通A股,限售流通股",2023-10-30,2023-11-02,,,
6,宁波梅山保税港区博瑞荣合投资合伙企业(有限合伙),52226778.0,1.19,流通A股,2023-10-30,2023-11-02,,,
7,西藏鸿商资本投资有限公司,46195222.0,1.05,流通A股,2023-10-30,2023-11-02,,,
8,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2023-10-30,2023-11-02,,,
9,湖北长江招银动力投资合伙企业(有限合伙),40531069.0,0.92,流通A股,2023-10-30,2023-11-02,,,
10,厦门润泰宏裕投资合伙企业(有限合伙),38922493.0,0.89,流通A股,2023-10-30,2023-11-02,,,
1,厦门瑞庭投资有限公司,1025064949.0,23.31,流通A股,2023-09-30,2023-10-20,,233256.0,18853.0
2,黄世霖,466021310.0,10.6,"流通A股,限售流通股",2023-09-30,2023-10-20,,233256.0,18853.0
3,香港中央结算有限公司,427454875.0,9.72,流通A股,2023-09-30,2023-10-20,,233256.0,18853.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.46,流通A股,2023-09-30,2023-10-20,,233256.0,18853.0
5,李平,201510277.0,4.58,"流通A股,限售流通股",2023-09-30,2023-10-20,,233256.0,18853.0
6,宁波梅山保税港区博瑞荣合投资合伙企业(有限合伙),52226778.0,1.19,流通A股,2023-09-30,2023-10-20,,233256.0,18853.0
7,西藏鸿商资本投资有限公司,47293703.0,1.08,流通A股,2023-09-30,2023-10-20,,233256.0,18853.0
8,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2023-09-30,2023-10-20,,233256.0,18853.0
9,湖北长江招银动力投资合伙企业(有限合伙),40567369.0,0.92,流通A股,2023-09-30,2023-10-20,,233256.0,18853.0
10,厦门润泰宏裕投资合伙企业(有限合伙),38901613.0,0.88,流通A股,2023-09-30,2023-10-20,,233256.0,18853.0
1,厦门瑞庭投资有限公司,1025064949.0,23.32,流通A股,2023-06-30,2023-07-26,,217464.0,20213.0
2,黄世霖,466021310.0,10.6,"流通A股,限售流通股",2023-06-30,2023-07-26,,217464.0,20213.0
3,香港中央结算有限公司,409468545.0,9.31,流通A股,2023-06-30,2023-07-26,,217464.0,20213.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),284220608.0,6.47,流通A股,2023-06-30,2023-07-26,,217464.0,20213.0
5,李平,201510277.0,4.58,"流通A股,限售流通股",2023-06-30,2023-07-26,,217464.0,20213.0
6,宁波梅山保税港区博瑞荣合投资合伙企业(有限合伙),52226778.0,1.19,流通A股,2023-06-30,2023-07-26,,217464.0,20213.0
7,西藏鸿商资本投资有限公司,51103085.0,1.16,流通A股,2023-06-30,2023-07-26,,217464.0,20213.0
8,湖北长江招银动力投资合伙企业(有限合伙),49763660.0,1.13,流通A股,2023-06-30,2023-07-26,,217464.0,20213.0
9,本田技研工业(中国)投资有限公司,41400000.0,0.94,流通A股,2023-06-30,2023-07-26,,217464.0,20213.0
10,宁波梅山保税港区润泰宏裕投资管理合伙企业(有限合伙),38912413.0,0.89,流通A股,2023-06-30,2023-07-26,,217464.0,20213.0
1,厦门瑞庭投资有限公司,569480527.0,23.32,流通A股,2023-03-31,2023-04-21,,206031.0,11853.0
2,黄世霖,258900728.0,10.6,"流通A股,限售流通股",2023-03-31,2023-04-21,,206031.0,11853.0
3,香港中央结算有限公司,214798179.0,8.79,流通A股,2023-03-31,2023-04-21,,206031.0,11853.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),157900338.0,6.46,流通A股,2023-03-31,2023-04-21,,206031.0,11853.0
5,李平,111950154.0,4.58,"流通A股,限售流通股",2023-03-31,2023-04-21,,206031.0,11853.0
6,宁波梅山保税港区博瑞荣合投资合伙企业(有限合伙),30849650.0,1.26,流通A股,2023-03-31,2023-04-21,,206031.0,11853.0
7,西藏鸿商资本投资有限公司,28390603.0,1.16,流通A股,2023-03-31,2023-04-21,,206031.0,11853.0
8,HHLR管理有限公司－中国价值基金(交易所),28022321.0,1.15,流通A股,2023-03-31,2023-04-21,,206031.0,11853.0
9,湖北长江招银动力投资合伙企业(有限合伙),27914978.0,1.14,流通A股,2023-03-31,2023-04-21,,206031.0,11853.0
10,本田技研工业(中国)投资有限公司,23000000.0,0.94,流通A股,2023-03-31,2023-04-21,,206031.0,11853.0
1,厦门瑞庭投资有限公司,569480527.0,23.32,流通A股,2022-12-31,2023-03-10,,183317.0,13321.0
2,黄世霖,258900728.0,10.6,限售流通股,2022-12-31,2023-03-10,,183317.0,13321.0
3,香港中央结算有限公司,171504126.0,7.02,流通A股,2022-12-31,2023-03-10,,183317.0,13321.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),157900338.0,6.46,流通A股,2022-12-31,2023-03-10,,183317.0,13321.0
5,李平,111950154.0,4.58,"流通A股,限售流通股",2022-12-31,2023-03-10,,183317.0,13321.0
6,湖北长江招银动力投资合伙企业(有限合伙),33885863.0,1.39,流通A股,2022-12-31,2023-03-10,,183317.0,13321.0
7,HHLR管理有限公司－中国价值基金(交易所),33193425.0,1.36,流通A股,2022-12-31,2023-03-10,,183317.0,13321.0
8,宁波梅山保税港区博瑞荣合投资合伙企业(有限合伙),30849650.0,1.26,流通A股,2022-12-31,2023-03-10,,183317.0,13321.0
9,深圳市招银叁号股权投资合伙企业(有限合伙),30847564.0,1.26,流通A股,2022-12-31,2023-03-10,,183317.0,13321.0
10,西藏鸿商资本投资有限公司,26225603.0,1.07,流通A股,2022-12-31,2023-03-10,,183317.0,13321.0
1,宁波梅山保税港区瑞庭投资有限公司,569480527.0,23.33,流通A股,2022-09-30,2022-10-22,,185383.0,13167.0
2,黄世霖,258900728.0,10.61,限售流通股,2022-09-30,2022-10-22,,185383.0,13167.0
3,香港中央结算有限公司,163869012.0,6.71,流通A股,2022-09-30,2022-10-22,,185383.0,13167.0
4,宁波联合创新新能源投资管理合伙企业(有限合伙),157900338.0,6.47,流通A股,2022-09-30,2022-10-22,,185383.0,13167.0
5,李平,111950154.0,4.59,"流通A股,限售流通股",2022-09-30,2022-10-22,,185383.0,13167.0
6,深圳市招银叁号股权投资合伙企业(有限合伙),41963654.0,1.72,流通A股,2022-09-30,2022-10-22,,185383.0,13167.0
7,湖北长江招银动力投资合伙企业(有限合伙),40434629.0,1.66,流通A股,2022-09-30,2022-10-22,,185383.0,13167.0
8,HHLR管理有限公司－中国价值基金(交易所),38841872.0,1.59,流通A股,2022-09-30,2022-10-22,,185383.0,13167.0
9,宁波梅山保税港区博瑞荣合投资合伙企业(有限合伙),30619650.0,1.25,流通A股,2022-09-30,2022-10-22,,185383.0,13167.0
